Broj naloga;Mesec;Radna Jedinica;Tip;Iznos
1741993;Februar 2024;NOVI BEOGRAD;WOMA;32500.00
1741994;Februar 2024;NOVI BEOGRAD;ZAMENA;12639.90
1741995;Februar 2024;ZEMUN;LOKALNO;6900.00
1741996;Februar 2024;NOVI BEOGRAD;ZAMENA;13367.00
1741997;Februar 2024;PALILULA;LOKALNO;6900.00
1741998;Februar 2024;NOVI BEOGRAD;ZAMENA;3136.28
1742000;Februar 2024;NOVI BEOGRAD;ZAMENA;34487.57
1742001;Februar 2024;NOVI BEOGRAD;ZAMENA;36106.00
1742002;Februar 2024;PALILULA;WOMA;25500.00
1742003;Februar 2024;NOVI BEOGRAD;ZAMENA;29308.00
1742005;Februar 2024;VOŽDOVAC;WOMA;33500.00
1742006;Februar 2024;VRAČAR;SAJLA;18820.00
1742007;Februar 2024;ZVEZDARA;LOKALNO;6900.00
1742008;Februar 2024;NOVI BEOGRAD;ZAMENA;79364.00
1742009;Februar 2024;VRAČAR;ZAMENA;103500.00
1742010;Februar 2024;NOVI BEOGRAD;LOKALNO;2300.00
1742011;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
1742012;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
1742013;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
1742014;Februar 2024;NOVI BEOGRAD;ZAMENA;48959.10
1742015;Februar 2024;NOVI BEOGRAD;LOKALNO;2300.00
1742017;Februar 2024;NOVI BEOGRAD;LOKALNO;2300.00
1742019;Februar 2024;PALILULA;ZAMENA;14900.00
1742020;Februar 2024;PALILULA;LOKALNO;6900.00
1742021;Februar 2024;STARI GRAD;ZAMENA;35929.00
1742022;Februar 2024;VOŽDOVAC;LOKALNO;6900.00
1742024;Februar 2024;ZEMUN;ZAMENA;229835.40
1742026;Februar 2024;NOVI BEOGRAD;ZAMENA;12442.00
1742027;Februar 2024;NOVI BEOGRAD;ZAMENA;49102.30
1742028;Februar 2024;NOVI BEOGRAD;WOMA;25500.00
1742029;Februar 2024;PALILULA;LOKALNO;6900.00
1742030;Februar 2024;PALILULA;LOKALNO;6900.00
1742031;Februar 2024;VOŽDOVAC;LOKALNO;6900.00
1742032;Februar 2024;PALILULA;ZAMENA;32898.00
1742034;Februar 2024;PALILULA;ZAMENA;38330.00
1742035;Februar 2024;PALILULA;SAJLA;16300.00
1742038;Februar 2024;NOVI BEOGRAD;ZAMENA;20412.00
1742041;Februar 2024;NOVI BEOGRAD;ZAMENA;44492.00
1742043;Februar 2024;PALILULA;ZAMENA;53586.00
1742044;Februar 2024;PALILULA;ZAMENA;33387.50
1742045;Februar 2024;PALILULA;ZAMENA;43976.00
1742050;Februar 2024;PALILULA;ZAMENA;15300.00
1742051;Februar 2024;STARI GRAD;WOMA;5000.00
1742054;Februar 2024;NOVI BEOGRAD;LOKALNO;2300.00
1742055;Februar 2024;PALILULA;ZAMENA;24978.00
1742056;Februar 2024;VRAČAR;ZAMENA;80934.00
1742057;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
1742058;Februar 2024;PALILULA;KOPANJE;143974.00
1742059;Februar 2024;NOVI BEOGRAD;LOKALNO;2300.00
1742060;Februar 2024;NOVI BEOGRAD;ZAMENA;47623.30
1742061;Februar 2024;PALILULA;LOKALNO;6900.00
1742062;Februar 2024;VRAČAR;LOKALNO;6900.00
1742063;Februar 2024;NOVI BEOGRAD;ZAMENA;14004.00
1742064;Februar 2024;PALILULA;LOKALNO;2300.00
1742065;Februar 2024;NOVI BEOGRAD;KOPANJE;75092.00
1742066;Februar 2024;PALILULA;ZAMENA;73102.60
1742068;Februar 2024;NOVI BEOGRAD;ZAMENA;50614.55
1742069;Februar 2024;PALILULA;LOKALNO;9200.00
1742070;Februar 2024;PALILULA;LOKALNO;2300.00
1742071;Februar 2024;PALILULA;ZAMENA;51593.00
1742072;Februar 2024;PALILULA;LOKALNO;9200.00
1742073;Februar 2024;PALILULA;LOKALNO;9200.00
1742074;Februar 2024;PALILULA;LOKALNO;6900.00
1742076;Februar 2024;PALILULA;SAJLA;14220.00
1742077;Februar 2024;PALILULA;ZAMENA;49203.00
1742078;Februar 2024;VOŽDOVAC;LOKALNO;6900.00
1742079;Februar 2024;ZEMUN;LOKALNO;6900.00
1742088;Februar 2024;ZVEZDARA;WOMA;137400.00
1742091;Februar 2024;RAKOVICA;ZAMENA;29664.00
1742092;Februar 2024;ČUKARICA;LOKALNO;6900.00
1742094;Februar 2024;RAKOVICA;ZAMENA;10210.00
1742099;Februar 2024;VRAČAR;ZAMENA;78072.00
1742100;Februar 2024;RAKOVICA;ZAMENA;77177.14
1742101;Februar 2024;VRAČAR;KOPANJE;79414.00
1742102;Februar 2024;RAKOVICA;KOPANJE;342636.16
1742103;Februar 2024;PALILULA;ZAMENA;69486.00
1742104;Februar 2024;PALILULA;ZAMENA;30882.00
1742105;Februar 2024;ZVEZDARA;ZAMENA;35821.00
1742106;Februar 2024;RAKOVICA;LOKALNO;6900.00
1742108;Februar 2024;RAKOVICA;KOPANJE;128802.20
1742109;Februar 2024;ZVEZDARA;ZAMENA;41153.00
1742112;Februar 2024;VOŽDOVAC;WOMA;46900.00
1742113;Februar 2024;VOŽDOVAC;KOPANJE;297724.90
1742115;Februar 2024;ZVEZDARA;LOKALNO;6900.00
1742116;Februar 2024;RAKOVICA;ZAMENA;21820.00
1742119;Februar 2024;VOŽDOVAC;KOPANJE;238310.80
1742123;Februar 2024;VOŽDOVAC;SAJLA;19220.00
1742125;Februar 2024;VRAČAR;SAJLA;12440.00
1742127;Februar 2024;ZVEZDARA;ZAMENA;45798.00
1742128;Februar 2024;VOŽDOVAC;SAJLA;9220.00
1742130;Februar 2024;ČUKARICA;LOKALNO;6900.00
1742132;Februar 2024;NOVI BEOGRAD;WOMA;213200.00
1742134;Februar 2024;STARI GRAD;WOMA;52300.00
1742137;Februar 2024;ZVEZDARA;ZAMENA;311005.00
1742138;Februar 2024;NOVI BEOGRAD;ZAMENA;34256.20
1742140;Februar 2024;VRAČAR;LOKALNO;6900.00
1742143;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
1742144;Februar 2024;VOŽDOVAC;ZAMENA;16525.00
1742145;Februar 2024;VRAČAR;WOMA;94400.00
1742146;Februar 2024;NOVI BEOGRAD;SAJLA;16220.00
1742147;Februar 2024;ČUKARICA;ZAMENA;144958.00
1742148;Februar 2024;NOVI BEOGRAD;WOMA;38900.00
1742150;Februar 2024;NOVI BEOGRAD;ZAMENA;5936.00
1742151;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
1742153;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
1742156;Februar 2024;VRAČAR;SAJLA;18820.00
1742157;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
1742160;Februar 2024;NOVI BEOGRAD;WOMA;30900.00
1742163;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
1742164;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
1742165;Februar 2024;NOVI BEOGRAD;ZAMENA;20300.00
1742166;Februar 2024;NOVI BEOGRAD;ZAMENA;230284.00
1742167;Februar 2024;VOŽDOVAC;WOMA;11900.00
1742168;Februar 2024;NOVI BEOGRAD;ZAMENA;23276.00
1742178;Februar 2024;VOŽDOVAC;ZAMENA;67842.00
1742179;Februar 2024;ZEMUN;SAJLA;19220.00
